id	name
DOID:0050156	idiopathic pulmonary fibrosis
DOID:0050425	restless legs syndrome
DOID:0050741	alcohol dependence
DOID:0050742	nicotine dependence
DOID:0060119	pharynx cancer
DOID:10021	duodenum cancer
DOID:10153	ileum cancer
DOID:1024	leprosy
DOID:10283	prostate cancer
DOID:10534	stomach cancer
DOID:10608	celiac disease
DOID:10652	Alzheimer's disease
DOID:10763	hypertension
DOID:10871	age related macular degeneration
DOID:1094	attention deficit hyperactivity disorder
DOID:10941	intracranial aneurysm
DOID:10976	membranous glomerulonephritis
DOID:11054	urinary bladder cancer
DOID:11119	Gilles de la Tourette syndrome
DOID:1115	sarcoma
DOID:11239	appendix cancer
DOID:11476	osteoporosis
DOID:11555	Fuchs' endothelial dystrophy
DOID:11612	polycystic ovary syndrome
DOID:11615	penile cancer
DOID:11714	gestational diabetes
DOID:11819	ureter cancer
DOID:119	vaginal cancer
DOID:1192	peripheral nervous system neoplasm
DOID:11920	tracheal cancer
DOID:11934	head and neck cancer
DOID:11949	Creutzfeldt-Jakob disease
DOID:12185	otosclerosis
DOID:12236	primary biliary cirrhosis
DOID:12306	vitiligo
DOID:12361	Graves' disease
DOID:12365	malaria
DOID:1245	vulva cancer
DOID:12849	autistic disorder
DOID:12930	dilated cardiomyopathy
DOID:12995	conduct disorder
DOID:1312	focal segmental glomerulosclerosis
DOID:13189	gout
DOID:1319	brain cancer
DOID:13223	uterine fibroid
DOID:1324	lung cancer
DOID:13241	Behcet's disease
DOID:13378	Kawasaki disease
DOID:13499	jejunal cancer
DOID:14004	thoracic aortic aneurysm
DOID:14221	metabolic syndrome X
DOID:14227	azoospermia
DOID:14268	sclerosing cholangitis
DOID:14330	Parkinson's disease
DOID:1459	hypothyroidism
DOID:1595	endogenous depression
DOID:1612	breast cancer
DOID:1686	glaucoma
DOID:1725	peritoneum cancer
DOID:175	vascular cancer
DOID:1781	thyroid cancer
DOID:1790	malignant mesothelioma
DOID:1793	pancreatic cancer
DOID:1826	epilepsy syndrome
DOID:184	bone cancer
DOID:1909	melanoma
DOID:1936	atherosclerosis
DOID:1964	fallopian tube cancer
DOID:1993	rectum cancer
DOID:2043	hepatitis B
DOID:216	dental caries
DOID:2174	ocular cancer
DOID:219	colon cancer
DOID:2355	anemia
DOID:2377	multiple sclerosis
DOID:2394	ovarian cancer
DOID:2531	hematologic cancer
DOID:2596	larynx cancer
DOID:263	kidney cancer
DOID:2841	asthma
DOID:2986	IgA glomerulonephritis
DOID:2994	germ cell cancer
DOID:2998	testicular cancer
DOID:3070	malignant glioma
DOID:3083	chronic obstructive pulmonary disease
DOID:3121	gallbladder cancer
DOID:3277	thymus cancer
DOID:3310	atopic dermatitis
DOID:3312	bipolar disorder
DOID:332	amyotrophic lateral sclerosis
DOID:3393	coronary artery disease
DOID:3565	meningioma
DOID:3571	liver cancer
DOID:363	uterine cancer
DOID:3953	adrenal gland cancer
DOID:4045	muscle cancer
DOID:4159	skin cancer
DOID:418	systemic scleroderma
