id	name	wiki_title	description	wiki_url
D000006	Abdomen, Acute		Description not found.	
D000270	Adie Syndrome		Description not found.	
D000326	Adrenoleukodystrophy	Adrenoleukodystrophy	Adrenoleukodystrophy (ALD) is a disease linked to the X chromosome. It is a result of fatty acid buildup caused by failure of peroxisomal fatty acid beta oxidation which results in the accumulation of very long chain fatty acids in tissues throughout the body.  The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex, and the Leydig cells in the testes. The long chain fatty acid buildup causes damage to the myelin sheath of the neurons of the brain, resulting in seizures and hyperactivity. Other symptoms include problems in speaking, listening, and understanding verbal instructions.  Clinically, ALD presents as a heterogeneous disorder, showing several distinct phenotypes, and no clear pattern of genotype–phenotype correlation. As an X-linked disorder, ALD presents more frequently and severely in males; however, approximately 80% of heterozygote females show some symptoms later in life.  Approximately one third of male ALD patients will present with the childhood cerebral form of the disease, which is the most severe form.  It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in timing of onset and in clinical severity, ranging from adrenal insufficiency alone to progressive paraparesis in early adulthood. ALD is caused by mutations in  ABCD1, a gene located on the X chromosome that codes for ALD, a peroxisomal membrane transporter protein. The exact mechanism of the pathogenesis of the various forms of ALD is not known. Biochemically, individuals with ALD show very high levels of unbranched, saturated, very long chain fatty acids, particularly cerotic acid (26:0).  The level of cerotic acid in plasma does not correlate with clinical presentation. Treatment options for ALD are limited. For the childhood cerebral form, stem cell transplant and gene therapy are options if the disease is detected early in the clinical course.  Adrenal insufficiency in ALD patients can be successfully treated.  ALD is the most common peroxisomal inborn error of metabolism, with a minimum estimated incidence of 1:42,000 for hemizygotes and 1:16,800 for hemizygotes and heterozygotes, though the incidence is likely to increase with improved newborn screening. It does not have a significantly higher incidence in any specific ethnic group.	https://en.wikipedia.org/wiki/Adrenoleukodystrophy
D000334	Aerophagy	Aerophagia	Aerophagia (or aerophagy) is a condition of excessive air swallowing, which goes to the stomach instead of the lungs. Aerophagia may also refer to an unusual condition where the primary symptom is excessive flatulence. The actual mechanism by which air enters the gut is obscure or unknown. Aerophagia in psychiatry is sometimes attributed to nervousness or anxiety.  Aerophagia affects approximately 0.1–1% of the general population, though prevalence may be underestimated due to underreporting.	https://en.wikipedia.org/wiki/Aerophagia
D000370	Ageusia	Ageusia	Ageusia (from negative prefix a- and Ancient Greek γεῦσις geûsis 'taste') is the loss of taste functions of the tongue, particularly the inability to detect sweetness, sourness, bitterness, saltiness, and umami (meaning 'savory taste'). It is sometimes confused with anosmia – a loss of the sense of smell. True ageusia is relatively rare compared to hypogeusia – a partial loss of taste – and dysgeusia – a distortion or alteration of taste. Even though ageusia is considered relatively rare it can impact individuals of any age or demographic. There has been an increase in reported cases of ageusia, due to the COVID-19 pandemic making ageusia more commonly diagnosed than before.	https://en.wikipedia.org/wiki/Ageusia
D000377	Agnosia	Agnosia	Agnosia is a neurological disorder characterized by an inability to process sensory information. Often there is a loss of ability to recognize objects, persons, sounds, shapes, or smells while the specific sense is neither defective nor is there any significant memory loss. It is usually associated with brain injury or neurological illness, particularly after damage to the occipitotemporal border, which is part of the ventral stream.  Agnosia affects only a single modality, such as vision or hearing. More recently, a top-down interruption is considered to cause the disturbance of handling perceptual information.	https://en.wikipedia.org/wiki/Agnosia
D000381	Agraphia	Agraphia	Agraphia is an acquired neurological disorder causing a loss in the ability to communicate through writing, either due to some form of motor dysfunction or an inability to spell. The loss of writing ability may present with other language or neurological disorders; disorders appearing commonly with agraphia are alexia, aphasia, dysarthria, agnosia, acalculia and apraxia. The study of individuals with agraphia may provide more information about the pathways involved in writing, both language related and motoric. Agraphia cannot be directly treated, but individuals can learn techniques to help regain and rehabilitate some of their previous writing abilities. These techniques differ depending on the type of agraphia. Agraphia can be broadly divided into central and peripheral categories. Central agraphias typically involve language areas of the brain, causing difficulty spelling or with spontaneous communication, and are often accompanied by other language disorders. Peripheral agraphias usually target motor and visuospatial skills in addition to language and tend to involve motoric areas of the brain, causing difficulty in the movements associated with writing. Central agraphia may also be called aphasic agraphia as it involves areas of the brain whose major functions are connected to language and writing; peripheral agraphia may also be called nonaphasic agraphia as it involves areas of the brain whose functions are not directly connected to language and writing (typically motor areas). The history of agraphia dates to the mid-fourteenth century, but it was not until the second half of the nineteenth century that it sparked significant clinical interest. Research in the twentieth century focused primarily on aphasiology in patients with lesions from strokes.	https://en.wikipedia.org/wiki/Agraphia
D000419	Albuminuria	Albuminuria	Albuminuria is a pathological condition of elevated albumin protein in the urine (often measured as urine albumin-to-creatinine ratio of >30 milligrams of albumin per 1 gram of creatinine per day). It is a type of proteinuria, and is the most common protein detected on urinalysis that, when elevated, is associated with kidney and cardiovascular disease (CVD). Albumin is an abundant plasma protein (present in blood) which is normally prevented from being lost into the urine by the sieve-like glomeruli of the nephrons. In healthy people, only trace amounts of it are present in urine, but when the filtration system of the kidney is damaged, larger amounts of albumin escape into the urine, which can be quantified and used to determine the extent of kidney injury/kidney disease.	https://en.wikipedia.org/wiki/Albuminuria
D000425	Alcohol Amnestic Disorder		Description not found.	
D000472	Alkalosis, Respiratory		Description not found.	
