id	name	wiki_title	description	wiki_url
D000006	Bụng, cấp tính		Không tìm thấy mô tả.	
D000270	Hội chứng Adie		Không tìm thấy mô tả.	
D000326	Bệnh loạn dưỡng tuyến thượng thận	Adrenoleukodystrophy	Adrenoleukodystrophy (ALD) là một bệnh liên quan đến nhiễm sắc thể X. Đó là kết quả của sự tích tụ axit béo do sự thất bại của quá trình oxy hóa beta axit béo peroxisomal dẫn đến sự tích tụ các axit béo chuỗi rất dài trong các mô khắp cơ thể.  Các mô bị ảnh hưởng nặng nề nhất là myelin trong hệ thần kinh trung ương, vỏ thượng thận và tế bào Leydig trong tinh hoàn. Sự tích tụ axit béo chuỗi dài gây tổn thương vỏ myelin của tế bào thần kinh trong não, dẫn đến co giật và tăng động. Các triệu chứng khác bao gồm các vấn đề về nói, nghe và hiểu hướng dẫn bằng lời nói.  Về mặt lâm sàng, ALD biểu hiện như một rối loạn không đồng nhất, biểu hiện một số kiểu hình riêng biệt và không có mô hình rõ ràng về mối tương quan giữa kiểu gen và kiểu hình. Là một rối loạn liên kết với nhiễm sắc thể X, ALD biểu hiện thường xuyên và nghiêm trọng hơn ở nam giới; tuy nhiên, khoảng 80% con cái dị hợp tử biểu hiện một số triệu chứng sau này trong cuộc sống.  Khoảng một phần ba số bệnh nhân nam ALD sẽ có biểu hiện bệnh não ở trẻ em, đây là dạng bệnh nặng nhất.  Nó được đặc trưng bởi sự phát triển bình thường trong thời thơ ấu, sau đó là sự thoái hóa nhanh chóng sang trạng thái thực vật. Các dạng ALD khác khác nhau về thời gian khởi phát và mức độ nghiêm trọng trên lâm sàng, từ suy tuyến thượng thận đơn thuần đến liệt nhẹ tiến triển ở tuổi trưởng thành sớm. ALD được gây ra bởi đột biến ở ABCD1, một gen nằm trên nhiễm sắc thể X mã hóa ALD, một protein vận chuyển màng peroxisomal. Cơ chế chính xác về sinh bệnh học của các dạng ALD khác nhau vẫn chưa được biết rõ. Về mặt sinh hóa, những người mắc ALD có hàm lượng axit béo chuỗi rất dài, bão hòa, không phân nhánh rất cao, đặc biệt là axit cerotic (26:0).  Mức độ axit cerotic trong huyết tương không tương quan với biểu hiện lâm sàng. Treatment options for ALD are limited. Đối với dạng não ở trẻ em, ghép tế bào gốc và liệu pháp gen là những lựa chọn nếu bệnh được phát hiện sớm trong quá trình lâm sàng.  Suy thượng thận ở bệnh nhân ALD có thể được điều trị thành công.  ALD là lỗi chuyển hóa bẩm sinh peroxisomal phổ biến nhất, với tỷ lệ mắc ước tính tối thiểu là 1:42.000 đối với bệnh hemizygote và 1:16.800 đối với hemizygote và dị hợp tử, mặc dù tỷ lệ mắc bệnh có thể tăng lên khi sàng lọc sơ sinh được cải thiện. Nó không có tỷ lệ mắc bệnh cao hơn đáng kể ở bất kỳ nhóm dân tộc cụ thể nào.	https://en.wikipedia.org/wiki/Adrenoleukodystrophy
D000334	Khí dung	Aerophagia	Aerophagia (hay aerophagy) là tình trạng nuốt không khí quá mức, đi vào dạ dày thay vì phổi. Aerophagia cũng có thể đề cập đến một tình trạng bất thường trong đó triệu chứng chính là đầy hơi quá mức. Cơ chế thực tế khiến không khí đi vào ruột vẫn chưa rõ ràng hoặc chưa được biết rõ. Chứng nuốt hơi trong tâm thần học đôi khi được cho là do căng thẳng hoặc lo lắng.  Chứng nuốt hơi ảnh hưởng đến khoảng 0,1–1% dân số nói chung, mặc dù tỷ lệ lưu hành có thể bị đánh giá thấp do không được báo cáo đầy đủ.	https://en.wikipedia.org/wiki/Aerophagia
D000370	Ageusia	Ageusia	Ageusia (từ tiền tố phủ định a- và tiếng Hy Lạp cổ γεῦσις geûsis 'hương vị') là sự mất chức năng vị giác của lưỡi, đặc biệt là không có khả năng phát hiện vị ngọt, vị chua, vị đắng, vị mặn và vị umami (có nghĩa là 'vị mặn'). Đôi khi nó bị nhầm lẫn với chứng mất khứu giác - mất khứu giác. Chứng mất vị giác thực sự tương đối hiếm so với chứng giảm vị giác – mất một phần vị giác – và chứng loạn vị giác – sự biến dạng hoặc thay đổi vị giác. Mặc dù ageusia được coi là tương đối hiếm nhưng nó có thể ảnh hưởng đến các cá nhân ở mọi lứa tuổi hoặc nhân khẩu học. Số ca mắc bệnh lão hóa được báo cáo đã gia tăng do đại dịch COVID-19 khiến bệnh lão hóa được chẩn đoán phổ biến hơn trước.	https://en.wikipedia.org/wiki/Ageusia
D000377	chứng mất trí nhớ	Agnosia	Agnosia là một rối loạn thần kinh được đặc trưng bởi việc không có khả năng xử lý thông tin cảm giác. Thường mất khả năng nhận biết đồ vật, con người, âm thanh, hình dạng hoặc mùi vị trong khi giác quan cụ thể không bị khiếm khuyết cũng như không bị mất trí nhớ đáng kể. Nó thường liên quan đến chấn thương não hoặc bệnh thần kinh, đặc biệt là sau khi tổn thương vùng chẩm – thái dương, một phần của dòng não thất.  Agnosia chỉ ảnh hưởng đến một phương thức duy nhất, chẳng hạn như thị giác hoặc thính giác. Gần đây hơn, sự gián đoạn từ trên xuống được coi là nguyên nhân gây ra sự xáo trộn trong việc xử lý thông tin nhận thức.	https://en.wikipedia.org/wiki/Agnosia
D000381	agraphia	Agraphia	Agraphia là một chứng rối loạn thần kinh mắc phải gây mất khả năng giao tiếp bằng chữ viết, do một số dạng rối loạn chức năng vận động hoặc không có khả năng đánh vần. Mất khả năng viết có thể biểu hiện cùng với rối loạn ngôn ngữ hoặc thần kinh khác; các rối loạn xuất hiện phổ biến với agraphia là alexia, aphasia, dysarthria, agnosia, acalcia và apraxia. Nghiên cứu về những người mắc chứng mất chữ viết có thể cung cấp thêm thông tin về các con đường liên quan đến việc viết, cả liên quan đến ngôn ngữ và vận động. Agraphia không thể được điều trị trực tiếp, nhưng các cá nhân có thể học các kỹ thuật để giúp lấy lại và phục hồi một số khả năng viết trước đây của họ. Những kỹ thuật này khác nhau tùy thuộc vào loại agraphia. Agraphia có thể được chia thành các loại trung tâm và ngoại vi. Chứng mất trí nhớ trung tâm thường liên quan đến các vùng ngôn ngữ của não, gây khó khăn khi đánh vần hoặc giao tiếp tự phát và thường đi kèm với các rối loạn ngôn ngữ khác. Chứng mất trí nhớ ngoại biên thường nhắm vào các kỹ năng vận động và không gian thị giác ngoài ngôn ngữ và có xu hướng liên quan đến các vùng vận động của não, gây khó khăn trong các chuyển động liên quan đến viết. Chứng mất ngôn ngữ trung tâm cũng có thể được gọi là chứng mất ngôn ngữ vì nó liên quan đến các vùng não có chức năng chính liên quan đến ngôn ngữ và chữ viết; chứng mất ngôn ngữ ngoại vi cũng có thể được gọi là chứng mất ngôn ngữ không giai đoạn vì nó liên quan đến các vùng não có chức năng không liên quan trực tiếp đến ngôn ngữ và chữ viết (thường là các vùng vận động). Lịch sử của agraphia có từ giữa thế kỷ 14, nhưng phải đến nửa sau thế kỷ 19, nó mới thu hút được sự quan tâm đáng kể về mặt lâm sàng. Nghiên cứu trong thế kỷ 20 tập trung chủ yếu vào phương pháp ngôn ngữ học ở những bệnh nhân bị tổn thương do đột quỵ.	https://en.wikipedia.org/wiki/Agraphia
D000419	Albumin niệu	Albuminuria	Albumin niệu là tình trạng bệnh lý khi protein albumin tăng cao trong nước tiểu (thường được đo bằng tỷ lệ albumin/creatinine trong nước tiểu > 30 miligam albumin trên 1 gam creatinine mỗi ngày). Đây là một loại protein niệu và là loại protein phổ biến nhất được phát hiện trong xét nghiệm nước tiểu, khi tăng cao sẽ có liên quan đến bệnh thận và tim mạch (CVD). Albumin là một loại protein huyết tương dồi dào (có trong máu), thường được ngăn ngừa khỏi bị mất vào nước tiểu bởi các cầu thận dạng lưới của nephron. Ở người khỏe mạnh, chỉ có một lượng nhỏ chất này hiện diện trong nước tiểu, nhưng khi hệ thống lọc của thận bị tổn thương, lượng albumin lớn hơn sẽ thoát vào nước tiểu, có thể định lượng và sử dụng để xác định mức độ tổn thương thận/bệnh thận.	https://en.wikipedia.org/wiki/Albuminuria
D000425	Rối loạn mất trí nhớ do rượu		Không tìm thấy mô tả.	
D000472	Nhiễm kiềm, hô hấp		Không tìm thấy mô tả.	
